title,link,description
MobiFone giới thiệu Camera AI cho gia đình,https://vnexpress.net/mobifone-gioi-thieu-camera-ai-cho-gia-dinh-4884014.html,"Camera AI của MobiFone cung cấp giải pháp an ninh, bảo vệ người dùng trước nguy cơ mất cắp dữ liệu cá nhân và xâm nhập riêng tư."
CoCo Solar ra mắt nền tảng lắp đặt và trả chậm điện mặt trời,https://vnexpress.net/coco-solar-ra-mat-nen-tang-lap-dat-va-tra-cham-dien-mat-troi-4884061.html,"Thông qua mô hình ""lắp đặt nhanh chóng, trả chậm linh hoạt"", khách hàng của CoCo Solar có thể sử dụng điện mặt trời ngay sau khi lắp đặt hệ thống."
Bốn nhà khoa học giành Giải thưởng Bảo Sơn 2024,https://vnexpress.net/bon-nha-khoa-hoc-gianh-giai-thuong-bao-son-2024-4884471.html,"HÀ NỘITác giả 4 công trình được trao Giải thưởng Bảo Sơn năm 2024 vì nghiên cứu giàu giá trị thực tiễn, nhân văn."
Nga bàn giao tàu nghiên cứu khoa học cho Việt Nam,https://vnexpress.net/nga-ban-giao-tau-nghien-cuu-khoa-hoc-cho-viet-nam-4884481.html,"Tàu nghiên cứu khoa học ""Giáo sư Gagarinsky"" do Nga tài trợ, được chuyển giao cho Trung tâm Nhiệt đới Việt-Nga, chiều 11/5."
Hiệu ứng bí ẩn đe dọa trang trại điện gió,https://vnexpress.net/hieu-ung-bi-an-de-doa-trang-trai-dien-gio-4883041.html,"Khi trang trại điện gió mở rộng, một số có thể vô tình ""trộm"" gió của nhau, gây lo ngại cho một số quốc gia đang chuyển đổi năng lượng để đạt lượng thải khí bằng không. 16"
Tàu thăm dò Sao Kim rơi xuống Trái Đất,https://vnexpress.net/tau-tham-do-sao-kim-roi-xuong-trai-dat-4884386.html,"Kosmos 482, tàu thăm dò Sao Kim phóng từ thời Liên Xô, đã quay trở lại bầu khí quyển Trái Đất sau 53 năm làm nhiệm vụ trên quỹ đạo. 59"
Hồ sứa chứa khí độc chết người,https://vnexpress.net/ho-sua-chua-khi-doc-chet-nguoi-4883964.html,"Hồ Sứa ở Palau chứa hàng triệu con sứa vàng đặc hữu sống ở lớp nước trên cùng của hồ nhưng không bao giờ xuống dưới 15 m, nơi nước bão hòa khí độc. 10"
Công nghệ giúp hàng triệu người xem video cùng lúc thế nào,https://vnexpress.net/cong-nghe-giup-hang-trieu-nguoi-xem-video-cung-luc-the-nao-4882918.html,Sự bùng nổ của video phát trực tiếp đòi hỏi sự nâng cấp về công nghệ để phục vụ hàng chục triệu người xem trên toàn thế giới.
Đập thủy điện cao nhất thế giới bắt đầu trữ nước,https://vnexpress.net/dap-thuy-dien-cao-nhat-the-gioi-bat-dau-tru-nuoc-4883851.html,TRUNG QUỐCTổ máy đầu tiên của nhà máy điện Shuangjiangkou (Song Giang Khẩu) ở tỉnh Tứ Xuyên dự kiến phát điện cuối năm nay. 20
Startup có nên chọn máy tính Mac thay thế Windows?,https://vnexpress.net/startup-co-nen-chon-may-tinh-mac-thay-the-windows-4883254.html,Tôi cần đầu tư hệ thống máy tính cho nhân viên nhưng lăn tăn có nhất thiết phải chọn Windows hay mua máy Mac như tôi đang sử dụng. (Duy Khánh) 62
"Cựu giám đốc TSMC: 'Việt Nam có tiềm năng, vị thế tốt về bán dẫn'",https://vnexpress.net/cuu-giam-doc-tsmc-viet-nam-co-tiem-nang-vi-the-tot-ve-ban-dan-4883725.html,Cựu giám đốc Trung tâm nghiên cứu vi mạch bán dẫn TSMC cho biết ông ấn tượng khi chứng kiến sự quyết tâm và tiềm năng của người Việt Nam.
Aqua lần đầu ra mắt điều hòa điều khiển bằng giọng nói,https://vnexpress.net/aqua-lan-dau-ra-mat-dieu-hoa-dieu-khien-bang-giong-noi-4884421.html,"Aqua UV Voice nổi bật nhờ tích hợp module nhận diện giọng nói tiếng Việt trên dàn lạnh, điều khiển không cần wifi, remote, kèm chính sách ""1 đổi 1"" trong 730 ngày."
Sẽ rút ngắn thời gian xây dựng các tiêu chuẩn với sản phẩm công nghệ cao,https://vnexpress.net/se-rut-ngan-thoi-gian-xay-dung-cac-tieu-chuan-voi-san-pham-cong-nghe-cao-4884136.html,"Chính phủ sẽ rút ngắn thời gian xây dựng các tiêu chuẩn, quy chuẩn quốc gia đối với các sản phẩm liên quan đến đổi mới sáng tạo, công nghệ cao."
Xây dựng Trung tâm dược liệu nâng giá trị sâm Ngọc Linh,https://vnexpress.net/xay-dung-trung-tam-duoc-lieu-nang-gia-tri-sam-ngoc-linh-4884127.html,"Chính phủ phê duyệt đề án phát triển Trung tâm công nghiệp dược liệu đặt tại Quảng Nam với cây sâm Ngọc Linh là chủ lực, tạo ra sản phẩm xuất khẩu có giá trị kinh tế cao."
Những thành phố lớn nhất nước Mỹ đang chìm vào lòng đất,https://vnexpress.net/nhung-thanh-pho-lon-nhat-nuoc-my-dang-chim-vao-long-dat-4883536.html,28 thành phố lớn ở Mỹ đang chìm dần và sự sụt lún địa chất này có thể ảnh hưởng đến các tòa nhà và cơ sở hạ tầng sớm hơn dự kiến. 26
Loài rận ăn lưỡi ký sinh trong miệng cá,https://vnexpress.net/loai-ran-an-luoi-ky-sinh-trong-mieng-ca-4883879.html,"Rận ăn lưỡi hút máu khiến cấu trúc giống chiếc lưỡi trong miệng cá teo tóp dần, cuối cùng chúng thay thế luôn bộ phận này để lùa thức ăn và nước vào miệng vật chủ."
,https://vnexpress.net/hom-nay-dong-cong-binh-chon-cosplay-contest-2025-4884201.html,
,https://vnexpress.net/may-loc-nuoc-lai-do-ky-su-viet-che-tao-4884142.html,
,https://vnexpress.net/lo-phan-ung-trung-quoc-lap-ky-luc-hoat-dong-lau-nhat-4883032.html,
,https://vnexpress.net/microsoft-cam-nhan-vien-su-dung-deepseek-4883933.html,
,https://vnexpress.net/ha-noi-se-dung-ai-phan-tich-noi-dung-internet-xu-ly-tin-gia-4883880.html,
,https://vnexpress.net/toc-do-mang-5g-tai-viet-nam-tang-40-4883450.html,
,https://vnexpress.net/sieu-may-tinh-200-000-gpu-cua-elon-musk-4883496.html,
,https://vnexpress.net/hai-diem-manh-du-kien-cua-iphone-gap-4881996.html,
,https://vnexpress.net/khi-cau-nasa-bay-vong-quanh-the-gioi-trong-16-ngay-4883347.html,
,https://vnexpress.net/2-000-ve-tham-gia-su-kien-super-vietnam-tang-rieng-doc-gia-vnexpress-4884109.html,
,https://vnexpress.net/dai-bieu-quoc-hoi-de-nghi-phan-loai-tai-san-so-4883895.html,
,https://vnexpress.net/nhung-robot-thay-nguoi-lam-viec-tai-trung-quoc-4882555.html,
,https://vnexpress.net/may-gia-toc-hat-lon-nhat-the-gioi-bien-chi-thanh-vang-4883535.html,
,https://vnexpress.net/song-bun-khong-lo-he-lo-su-hinh-thanh-dai-tay-duong-4883530.html,
,https://vnexpress.net/nhom-giang-vien-ung-dung-ai-sang-che-robot-chien-truong-4882889.html,
,https://vnexpress.net/hom-nay-quoc-hoi-thao-luan-ve-phat-trien-tri-tue-nhan-tao-4883482.html,
,https://vnexpress.net/nha-sang-lap-celsius-linh-12-nam-tu-vi-gian-lan-hang-ty-usd-tien-so-4883772.html,
