title,link,description
5 món giúp giảm cân nhưng không nên ăn nhiều,https://vnexpress.net/5-mon-giup-giam-can-nhung-khong-nen-an-nhieu-4884089.html,"Quả bơ, bông cải xanh, cá có hàm lượng cao chất béo lành mạnh, protein và chất xơ giúp tăng cảm giác no, song ăn nhiều dễ gây đầy bụng, thừa calo."
"Cấp cứu đột quỵ muộn, nguy cơ tàn phế cao",https://vnexpress.net/cap-cuu-dot-quy-muon-nguy-co-tan-phe-cao-4884213.html,"Bệnh viện Hoàn Mỹ khảo sát 179 ca cấp cứu đột quỵ ghi nhận từ lúc khởi phát triệu chứng đến khi vào viện là 16 giờ, trong khi thời gian vàng 4,5-6 giờ, dẫn đến tỷ lệ tàn phế cao."
Uống nhiều matcha latte có tốt?,https://vnexpress.net/uong-nhieu-matcha-latte-co-tot-4882911.html,"Matcha latte có lợi cho sức khỏe, song cần kiểm soát lượng dùng, thời điểm sử dụng và chọn loại nguyên chất, an toàn."
Mổ đặt 'ống thoát nước' cứu mắt bệnh nhân cườm,https://vnexpress.net/mo-dat-ong-thoat-nuoc-cuu-mat-benh-nhan-cuom-4884029.html,"NINH BÌNHNgười đàn ông 75 tuổi bị cườm nước (glaucoma) nhiều năm, thị lực 1/10, sử dụng bốn loại thuốc nhỏ mắt nhưng không thể kiểm soát nhãn áp, được bác sĩ mổ kỹ thuật mới để dẫn lưu thủy dịch."
Ai không nên ăn sầu riêng?,https://vnexpress.net/ai-khong-nen-an-sau-rieng-4883630.html,"Sầu riêng tính nóng, nhiều calo, không phù hợp với người bị mụn nhọt, mang thai, cảm lạnh, táo bón, bệnh mạn tính, người già hoặc đang giảm cân."
Vợ hiến tạng của chồng ghép cứu 4 người,https://vnexpress.net/vo-hien-tang-cua-chong-ghep-cuu-4-nguoi-4884016.html,"Người đàn ông 50 tuổi bị tai nạn lao động chết não, được vợ con hiến tạng ghép cho 4 bệnh nhân. 20"
Bé trai 5 tuổi nghịch dây giải rút tự 'thắt cổ' mình,https://vnexpress.net/be-trai-5-tuoi-nghich-day-giai-rut-tu-that-co-minh-4883914.html,"HÀ NỘIBé trai 5 tuổi nghịch dây giải rút, tự cuốn vào cổ rồi treo mình trên dây mắc màn, nhập viện trong tình trạng tím tái, lơ mơ."
Phát hiện ca bệnh giun rồng thứ 26,https://vnexpress.net/phat-hien-ca-benh-giun-rong-thu-26-4883962.html,"PHÚ THỌNgười đàn ông 47 tuổi nổi các đường ngoằn ngoèo dưới da, bác sĩ phát hiện nhiễm giun rồng, là ca thứ 26 được công bố tại Việt Nam."
Ca não mô cầu tăng ở miền Nam cảnh báo dịch,https://vnexpress.net/ca-nao-mo-cau-tang-o-mien-nam-canh-bao-dich-4883918.html,"8/20 tỉnh thành phía Nam ghi nhận 12 ca bệnh não mô cầu trong 4 tháng đầu năm, tăng 9 ca so với cùng kỳ năm ngoái."
Dấu hiệu nhận biết lòng se điếu giả,https://vnexpress.net/dau-hieu-nhan-biet-long-se-dieu-gia-4883550.html,"Lòng se điếu giả thường có màu trắng bệch, đều màu bất thường, không có gân máu hay phần mỡ tự nhiên. 22"
Những người bỏ điều trị HIV,https://vnexpress.net/nhung-nguoi-bo-dieu-tri-hiv-4881852.html,"Long, 23 tuổi, một bệnh nhân HIV, trốn khỏi phòng trọ, để lại vỉ ARV (thuốc trị bệnh) chưa dùng hết và chiếc điện thoại ghi nhật ký."
Có phải 'ăn gì bổ nấy'?,https://vnexpress.net/co-phai-an-gi-bo-nay-4883692.html,"Nhiều người nghĩ rằng ăn gì bổ nấy, như ăn lòng bổ ruột, ăn tiết bổ máu hay ăn tim gan bổ tim gan, điều này có đúng? (Mai, 37 tuổi, Hà Nội)"
8 nguyên nhân gây teo bộ phận sinh dục,https://vnexpress.net/8-nguyen-nhan-gay-teo-bo-phan-sinh-duc-4864664.html,"Rối loạn nội tiết tố, thiếu androgen, rối loạn cương, phẫu thuật tuyến tiền liệt, béo phì, ít vận động có thể khiến dương vật bị teo, giảm kích thước."
6 bài tập giảm mỏi mắt,https://vnexpress.net/6-bai-tap-giam-moi-mat-4882874.html,Chớp mắt liên tục để kích thích nước mắt tiết ra hoặc nhắm mắt và úp tay lên giữ nguyên trong 30 giây cũng làm dịu cơn nhức mỏi.
Những bệnh dễ mắc khi trị hôi nách ở cơ sở không uy tín,https://vnexpress.net/nhung-benh-de-mac-khi-tri-hoi-nach-o-co-so-khong-uy-tin-4884174.html,"Cơ sở điều trị hôi nách ""chui"" thường không đảm bảo vô trùng, gây rủi ro cho người sử dụng dịch vụ như tăng nguy cơ nhiễm trùng, mắc uốn ván, viêm gan B."
Vì sao estrogen quan trọng với sức khỏe nữ giới?,https://vnexpress.net/vi-sao-estrogen-quan-trong-voi-suc-khoe-nu-gioi-4884125.html,"Estrogen giúp phụ nữ duy trì làn da và sắc vóc, nếu suy giảm lượng hormone này có thể gây ra các vấn đề sức khỏe, sinh lý."
9 vấn đề sức khỏe thường gặp ở nam giới,https://vnexpress.net/9-van-de-suc-khoe-thuong-gap-o-nam-gioi-4884075.html,"Đổ mồ hôi nhiều kèm mùi cơ thể nặng, hói đầu, vòng bụng lớn, tuyến tiền liệt phì đại là những tình trạng phổ biến ở nam giới, nhất là khi lớn tuổi."
6 thói quen âm thầm gây hại tim,https://vnexpress.net/6-thoi-quen-am-tham-gay-hai-tim-4884019.html,"Căng thẳng thường xuyên gây áp lực lên tim, cộng thêm ngủ không đủ giấc, uống nhiều rượu có thể làm tăng huyết áp, cholesterol, thúc đẩy tình trạng viêm."
Dấu hiệu cảnh báo mất cân bằng hormone,https://vnexpress.net/dau-hieu-canh-bao-mat-can-bang-hormone-4883992.html,"Mất cân bằng hormone có thể tác động đến cân nặng, chất lượng giấc ngủ, làn da, kể cả tính cách của một người."
Thắc mắc thường gặp về viêm phổi do phế cầu,https://vnexpress.net/thac-mac-thuong-gap-ve-viem-phoi-do-phe-cau-4884129.html,"Ai dễ bị viêm phổi do phế cầu, con đường lây truyền và khi nào cần đi khám là những thắc mắc thường gặp của nhiều người."
Viêm gan A có lây qua đường ăn uống?,https://vnexpress.net/viem-gan-a-co-lay-qua-duong-an-uong-4884118.html,"Chồng tôi mắc viêm gan A, virus này có lây nhiễm qua đường ăn uống không, làm thế nào để phòng ngừa? (Hoàng Long, Củ Chi)"
"Ăn uống gì giúp gan khỏe, tăng cường thải độc?",https://vnexpress.net/an-uong-gi-giup-gan-khoe-tang-cuong-thai-doc-4884044.html,"Chế độ ăn giàu rau xanh, trái cây, cá béo và các thực phẩm giàu chất chống oxy hóa có thể tăng cường chức năng thanh lọc, thải độc, giảm viêm trong gan."
Làm sao biết phổi đang lão hóa?,https://vnexpress.net/lam-sao-biet-phoi-dang-lao-hoa-4884031.html,"Phổi lão hóa có thể khiến các cơ xung quanh suy yếu và giảm dung tích, gây ra các triệu chứng đặc trưng có thể nhận biết khi thực hiện các hoạt động thường ngày."
Đi du lịch tốt cho tim mạch thế nào,https://vnexpress.net/di-du-lich-tot-cho-tim-mach-the-nao-4884030.html,"Đi du lịch không chỉ giúp tinh thần thư thái mà còn tăng cường sức khỏe thể chất, giảm nguy cơ mắc bệnh lý tim mạch."
